"model","pond_id","feature","phi"
"BPNN",4,"FTF3",0.613860857084124
"BPNN",4,"PL__SIZE",-0.604803157069246
"BPNN",4,"FTF1",-0.599566419295099
"BPNN",4,"Temp",0.554228441809737
"BPNN",4,"FCR",0.543986634994443
"BPNN",5,"DOC",-2.51386084628372
"BPNN",5,"pH",2.18923335981129
"BPNN",5,"PH_PM",-1.15304588926
"BPNN",5,"FTF4",0.939425960891146
"BPNN",5,"POND_SIZE_Ha",-0.824094464770841
"BPNN",5,"FCR",0.670149229368574
"BPNN",5,"FTF1",-0.66625875792456
"BPNN",5,"Temp",0.6638408072677
"BPNN",5,"Daily__feed",-0.52416510429944
"BPNN",5,"PL__SIZE",-0.475306541009266
