"feature","phi"
"DOC",-0.446957041025162
"Cum_Feed",-0.376262760162353
"Daily__feed",0.333277235031128
"FTF3",0.294258791804314
"FTF4",0.209199701547623
"Farm_ID.F003",0.150948662757874
"Temp",-0.126710177659988
"FTF2",-0.09911003947258
"FTF1",-0.077092342376709
"Pond_Type.BFT",0.0531463432312012
"PH_PM",-0.0520840835571289
"Cycle_ID.C003",-0.0375412750244141
"Pond_Type.LP",-0.0357153224945068
"Alkalinity",0.031302318572998
"pH",-0.0282091987133026
"Temp_PM",0.0263644874095917
"FCR",0.0255469989776611
"Stocking_Density",-0.0237906086444855
"Farm_ID.F005",0.00757596969604492
"Pond_Type.LP.DIATOM.BASED.",0.0039985179901123
"Cycle_ID.C004",0.00370218276977539
"Variant.SIS.HARDY.LINE",-0.00362539291381836
"Ammonia",0.00298890113830566
"Salinity",0.00249892234802246
"Variant.SIS.GROWTH.LINE",0.00240372657775879
"DO",-0.00235734939575195
"Farm_ID.F009",0.00175948143005371
"Farm_ID.F002",0.00136430740356445
"Nitrate",-0.000803794860839844
"POND_SIZE_Ha",-0.000596159696578979
"Cycle_ID.C006",-0.000486030578613281
"Variant.SYAqua",-0.000422039031982422
"Farm_ID.F008",-0.000303993225097656
"PL__SIZE",-0.000125837326049805
"Cycle_ID.C002",7.02095031738281e-05
"Farm_ID.F004",0
"Farm_ID.F006",0
"Farm_ID.F007",0
"Farm_ID.F010",0
"Cycle_ID.C005",0
"Nitrite",0
