"feature","phi"
"DOC",-0.876288596756508
"Cum_Feed",-0.628210252952677
"Daily__feed",0.517062854334955
"FTF4",0.286401690013346
"FTF3",0.185885190005903
"FTF2",-0.17423655594792
"FTF1",0.136705355754963
"pH",0.120569621526004
"Farm_ID.F003",0.0569316739203062
"Pond_Type.BFT",0.0473671685787482
"PH_PM",-0.0370478119526886
"Pond_Type.LP",-0.0276338576109236
"Stocking_Density",0.0248608197567638
"Farm_ID.F009",-0.0223968248011246
"Temp",-0.0214881736664415
"Temp_PM",0.0206993624490848
"POND_SIZE_Ha",0.0181856887983459
"DO",-0.0157045283333331
"Variant.SYAqua",-0.0138701406675247
"Farm_ID.F007",-0.00767906421739816
"FCR",0.00580510299824532
"Farm_ID.F002",0.00575225735504436
"Salinity",0.00544214666666671
"Variant.SIS.GROWTH.LINE",0.00517151740332007
"Cycle_ID.C006",-0.00317962666666661
"Cycle_ID.C003",-0.00295731955768272
"Cycle_ID.C002",-0.0022282137482644
"Variant.SIS.HARDY.LINE",0.00194361040385617
"Farm_ID.F010",-0.00108168794871798
"Ammonia",0.000909979999999955
"PL__SIZE",0.000783991851483634
"Cycle_ID.C005",-0.000398191481481511
"Farm_ID.F008",-0.000308349161524983
"Farm_ID.F004",0.000246754977375403
"Cycle_ID.C004",-8.25999999999993e-05
"Farm_ID.F006",-2.29923076923022e-05
"Farm_ID.F005",0
"Pond_Type.LP.DIATOM.BASED.",0
"Alkalinity",0
"Nitrite",0
"Nitrate",0
