"feature","phi"
"DOC",-0.395868173837662
"FTF3",0.309597562551498
"Daily__feed",0.258456296920776
"FTF4",0.173626165390015
"Temp",-0.118640141487122
"FTF2",-0.104722188711166
"Farm_ID.F003",0.100262520313263
"Cum_Feed",-0.0892465877532959
"PH_PM",-0.0830501365661621
"FCR",0.0617388248443604
"Pond_Type.BFT",0.0459992122650146
"Alkalinity",0.0393170261383057
"FTF1",-0.0320383715629578
"pH",-0.0296866035461426
"DO",-0.0221007013320923
"Salinity",0.0202710366249084
"PL__SIZE",-0.018625922203064
"Stocking_Density",-0.0134653568267822
"Ammonia",0.0122502517700195
"Pond_Type.LP",-0.0118263912200928
"Cycle_ID.C002",-0.00968608856201172
"Nitrate",-0.0029777717590332
"Farm_ID.F005",0.00280837059020996
"Variant.SIS.HARDY.LINE",0.00266332626342773
"Temp_PM",-0.00251827239990234
"Farm_ID.F009",0.00176630973815918
"Cycle_ID.C006",-0.00145812034606934
"Cycle_ID.C003",0.00139657974243164
"Farm_ID.F004",-0.000827045440673828
"Variant.SIS.GROWTH.LINE",0.000748605728149414
"Variant.SYAqua",0.000284786224365234
"POND_SIZE_Ha",-0.000248680114746094
"Pond_Type.LP.DIATOM.BASED.",0.000200271606445312
"Farm_ID.F002",0
"Farm_ID.F006",0
"Farm_ID.F007",0
"Farm_ID.F008",0
"Farm_ID.F010",0
"Cycle_ID.C004",0
"Cycle_ID.C005",0
"Nitrite",0
