"feature","phi"
"DOC",-8.13776656502858
"Cum_Feed",-1.0972948682867
"FTF1",-1.05945141941309
"FTF2",-0.579396939575672
"FTF3",0.501280950102955
"PH_PM",-0.301720432192087
"Stocking_Density",-0.171100447773933
"Daily__feed",-0.0859794198721647
"Farm_ID.F003",0.0558122190833092
"FTF4",0.0416416119039059
"POND_SIZE_Ha",0.0346800861507654
"Temp",-0.0236906795203686
"Salinity",0.0231791263073683
"DO",-0.0202041643857956
"PL__SIZE",-0.0183334065414965
"Cycle_ID.C002",-0.0169312760233879
"FCR",0.0149347543716431
"Farm_ID.F008",0.0134659421443939
"Variant.SIS.HARDY.LINE",-0.00940683364868164
"Pond_Type.BFT",0.00934067606925964
"Pond_Type.LP",0.00743432188406587
"Farm_ID.F005",0.0047886848449707
"Farm_ID.F009",0.0040425069257617
"Farm_ID.F007",0.00363608837127686
"Pond_Type.LP.DIATOM.BASED.",0.00258796453475952
"Farm_ID.F010",-0.00163514256477356
"Farm_ID.F004",-0.00139217376708984
"Temp_PM",-0.00126913845539093
"Variant.SIS.GROWTH.LINE",0.00105949461460114
"pH",0.000873107332736254
"Variant.SYAqua",0.000608773231506348
"Cycle_ID.C003",-0.000587159693241119
"Ammonia",0.000443315505981445
"Farm_ID.F002",0.000442905426025391
"Cycle_ID.C005",-0.000213682651519775
"Alkalinity",0.000205154418945313
"Nitrate",3.72982025146484e-05
"Farm_ID.F006",0
"Cycle_ID.C004",0
"Cycle_ID.C006",0
"Nitrite",0
