"feature","phi"
"pH",3.63140474248234
"DOC",-2.53427892578292
"PH_PM",-1.648875289078
"FTF3",1.07240664994687
"FTF1",-0.891885516189109
"Daily__feed",-0.783323151246437
"POND_SIZE_Ha",-0.738160265918575
"PL__SIZE",-0.696272194150186
"FTF4",0.670323682002319
"FTF2",-0.500030040030323
"FCR",0.328631538001993
"Stocking_Density",0.326548867762733
"Variant.SYAqua",0.317927851862803
"Farm_ID.F005",0.312676280919519
"Variant.SIS.HARDY.LINE",0.307171428951648
"Farm_ID.F008",0.269808393790775
"Temp",-0.263910805125224
"Pond_Type.LP",0.257069354183806
"Farm_ID.F004",-0.212138248619015
"Salinity",0.209860378848957
"Farm_ID.F007",0.159848704968833
"Farm_ID.F006",0.158437485446656
"Cycle_ID.C004",-0.142751203601191
"Farm_ID.F009",-0.111213101856423
"Temp_PM",-0.0815106671137884
"Cum_Feed",0.0609070171940004
"Cycle_ID.C005",0.053134390652589
"Pond_Type.LP.DIATOM.BASED.",0.0509184096104559
"Cycle_ID.C006",0.0406741152574387
"Pond_Type.BFT",0.0399500947687533
"Ammonia",0.0374816269853745
"DO",0.0356566186780906
"Cycle_ID.C002",0.0352149951255609
"Farm_ID.F002",0.0203886352258199
"Farm_ID.F003",-0.0200788505641905
"Farm_ID.F010",-0.0166633114984364
"Variant.SIS.GROWTH.LINE",-0.00208017325898986
"Cycle_ID.C003",-0.000659394730660559
"Alkalinity",0
"Nitrate",0
