"feature","phi"
"pH",3.04095685458369
"PH_PM",-1.96708933789892
"DOC",-1.82310142975524
"PL__SIZE",-0.999465364778949
"FTF4",0.829747770013022
"POND_SIZE_Ha",-0.819102816027395
"Temp_PM",0.717052400072603
"FTF2",-0.652324277754564
"FCR",0.530664481071712
"Daily__feed",-0.484998837196681
"FTF3",0.455376270958195
"Farm_ID.F004",-0.276027217341399
"FTF1",-0.255405311777169
"Farm_ID.F006",0.2285858507084
"Variant.SIS.HARDY.LINE",0.20741092443888
"Farm_ID.F002",0.169138015643907
"Cycle_ID.C003",0.153540095449082
"Salinity",0.143589621596299
"Pond_Type.LP.DIATOM.BASED.",0.126023074537759
"Farm_ID.F005",0.115467074216686
"DO",-0.0994693597186062
"Farm_ID.F007",0.0872209901829576
"Farm_ID.F008",0.0864948792201223
"Variant.SYAqua",-0.0591954844690668
"Temp",-0.0541937669845185
"Farm_ID.F009",-0.051474166933467
"Variant.SIS.GROWTH.LINE",0.0412025133466603
"Stocking_Density",0.0371916433634064
"Farm_ID.F003",-0.0369794918926744
"Pond_Type.BFT",0.0326681905916782
"Cycle_ID.C006",0.0321896062143385
"Pond_Type.LP",0.0300147381678464
"Cycle_ID.C002",0.029168957805114
"Ammonia",0.0262472132382955
"Cum_Feed",-0.0188820841703566
"Farm_ID.F010",-0.0184167790745715
"Nitrate",0.0111398169539838
"Alkalinity",-5.32691431319643e-05
"Cycle_ID.C004",-5.22843901623027e-05
"Cycle_ID.C005",0
