"feature","phi"
"DOC",-2.77514989275852
"pH",2.36777099945014
"FTF1",-2.04674443542581
"PH_PM",-1.52068723464838
"PL__SIZE",-0.981249806030787
"FTF4",0.963016622718627
"POND_SIZE_Ha",-0.75554444552491
"Daily__feed",-0.479865558064422
"FTF3",0.439188097493301
"Farm_ID.F006",0.344688290974361
"Stocking_Density",0.271840921514167
"FTF2",-0.271497263830462
"Farm_ID.F010",-0.192172007795112
"Cycle_ID.C004",-0.18545254830917
"Farm_ID.F007",0.174128790294872
"Temp",-0.14696791177451
"Farm_ID.F008",0.134616910891201
"Cum_Feed",-0.129790621962882
"Cycle_ID.C003",0.105362115177322
"Variant.SIS.HARDY.LINE",0.097404746771758
"Ammonia",0.0841259836150245
"Temp_PM",0.0788329218796946
"Pond_Type.BFT",0.0746581925477301
"Farm_ID.F004",-0.0694423309328314
"Farm_ID.F009",-0.0647127221860614
"Salinity",0.0580997385649638
"Farm_ID.F003",0.0525521994768424
"Cycle_ID.C006",0.0458634089416872
"Variant.SYAqua",0.0458246233435347
"Farm_ID.F005",0.0411418786064294
"Cycle_ID.C005",-0.0386003953779452
"Variant.SIS.GROWTH.LINE",0.0379562045462375
"Farm_ID.F002",0.020498788897776
"Cycle_ID.C002",0.0187445431066491
"DO",0.0152492886402756
"Pond_Type.LP",-0.00357475799571596
"FCR",0.000699080979911049
"Pond_Type.LP.DIATOM.BASED.",1.2312484797441e-05
"Alkalinity",0
"Nitrate",0
