"feature","phi"
"Daily__feed",0.486397400622748
"Cum_Feed",-0.399737923882882
"DOC",-0.328961040175445
"FTF4",0.159730214890714
"FTF2",-0.146706709491949
"Farm_ID.F003",0.100829455484072
"Pond_Type.BFT",0.0877927936143291
"Temp",-0.0487943733333342
"PH_PM",-0.0486938251542825
"pH",0.0484998990167576
"FTF1",0.0468855182628035
"Stocking_Density",0.0351837485803578
"FTF3",0.0292246515439556
"Farm_ID.F009",-0.0254654862044284
"POND_SIZE_Ha",0.0233623769663069
"Pond_Type.LP",-0.0181189555074493
"Variant.SYAqua",-0.0120266277902046
"FCR",-0.00993695312287093
"Farm_ID.F004",-0.00922693863579628
"Variant.SIS.GROWTH.LINE",0.00922510011311134
"DO",-0.00620521999999996
"Pond_Type.LP.DIATOM.BASED.",0.00316531785032616
"Alkalinity",0.00162833000000006
"Farm_ID.F005",0.00141617868537036
"Salinity",-0.00120757387445882
"Temp_PM",-0.00115688333333335
"Cycle_ID.C003",0.00109820172069384
"Cycle_ID.C002",-0.000816290205497907
"Variant.SIS.HARDY.LINE",0.0007622703492064
"Farm_ID.F002",0.000760233738718199
"Farm_ID.F007",0.000574066666666706
"PL__SIZE",-0.000316181467887251
"Farm_ID.F006",0.000246165715893305
"Nitrate",-0.000205989999999989
"Farm_ID.F010",0.000146219194139103
"Farm_ID.F008",-0.000120434050021139
"Cycle_ID.C006",-9.29813725489836e-05
"Ammonia",9.2963333333369e-05
"Cycle_ID.C005",-1.7839999999989e-05
"Cycle_ID.C004",0
"Nitrite",0
