"feature","phi"
"Daily__feed",0.691248743059068
"DOC",-0.613679948684297
"Cum_Feed",-0.471587323553338
"FTF4",0.381286238545236
"FTF3",0.240323905673295
"FTF2",-0.165566910229433
"pH",0.0723887883490259
"Pond_Type.BFT",0.0641678275152564
"Farm_ID.F003",0.0622603227712849
"FTF1",0.0619209984433472
"POND_SIZE_Ha",0.0515233786303769
"Stocking_Density",0.0498059511516998
"FCR",0.0439892362633932
"PH_PM",-0.0348742340751514
"Temp",-0.0250146123063977
"Farm_ID.F009",0.0237016027188304
"Salinity",0.012063355790059
"Farm_ID.F005",0.0103958709106838
"Temp_PM",0.00799703666666646
"Variant.SYAqua",0.00780161385289802
"Pond_Type.LP.DIATOM.BASED.",0.00456791252759281
"Pond_Type.LP",0.00393350125493258
"Variant.SIS.GROWTH.LINE",0.00321534457792329
"Farm_ID.F008",0.00305422415785934
"Variant.SIS.HARDY.LINE",0.0028256554603175
"Farm_ID.F007",-0.0020777133333333
"Cycle_ID.C002",0.00155382521903016
"Cycle_ID.C003",-0.00143967243238384
"Farm_ID.F002",0.00143662666666668
"Cycle_ID.C004",0.00134302969696973
"Farm_ID.F004",0.00121652079772081
"Alkalinity",0.000870433333333356
"Ammonia",-0.000826788363636535
"Farm_ID.F010",0.000824844974358943
"Cycle_ID.C006",0.000641783333333343
"DO",-0.000592599999999983
"Farm_ID.F006",0.000589125214232826
"Nitrate",0.000397706666666711
"PL__SIZE",-0.00034672088699196
"Cycle_ID.C005",0
"Nitrite",0
