"feature","phi"
"pH",3.44513876749857
"PH_PM",-1.8758929228593
"DOC",-1.64525730618901
"Stocking_Density",1.18499168320637
"PL__SIZE",-0.820492192492652
"FTF3",0.809704604304353
"FTF1",-0.711532935849837
"POND_SIZE_Ha",-0.404314309415879
"FTF4",0.291131440330156
"FCR",0.283822107269153
"Daily__feed",-0.268776350199762
"Variant.SIS.HARDY.LINE",0.246994401684394
"Pond_Type.LP",0.234620594722371
"Temp_PM",-0.234193823630278
"FTF2",-0.233407015552483
"Farm_ID.F006",0.217370657264099
"Farm_ID.F010",-0.196081003624891
"Temp",-0.184129479653225
"Farm_ID.F005",0.148107784490883
"Farm_ID.F002",0.144466485064845
"Cycle_ID.C004",-0.129706210186409
"Farm_ID.F004",-0.117277347614494
"Cycle_ID.C006",0.112867506878218
"Pond_Type.LP.DIATOM.BASED.",0.108996171224674
"Variant.SYAqua",-0.107088194221265
"Nitrate",-0.0796963941455228
"Salinity",0.0731704388481054
"Pond_Type.BFT",-0.0727854707383031
"Cycle_ID.C003",0.0704086719386215
"Farm_ID.F007",0.0543684547744928
"Alkalinity",-0.0533180440104949
"Farm_ID.F003",0.0443405018391997
"Variant.SIS.GROWTH.LINE",0.0410454673828511
"Farm_ID.F009",-0.0395211671986728
"Cum_Feed",-0.0369038274264414
"Ammonia",-0.0269159989806756
"Farm_ID.F008",0.0244097140134496
"Cycle_ID.C002",0.00775099464941059
"DO",-0.00539060233935423
"Cycle_ID.C005",-0.0033302876636188
