"feature","phi"
"Daily__feed",0.302577438354492
"FTF3",0.297140662670136
"Cum_Feed",-0.244928243160248
"DOC",-0.239737327694893
"FTF4",0.172198891639709
"Temp",-0.103746510744095
"FTF2",-0.0833771800994873
"PH_PM",-0.0746020221710205
"Farm_ID.F003",0.0441532421112061
"Alkalinity",0.0373003196716309
"pH",-0.0357137942314148
"Pond_Type.BFT",0.0319967186450958
"FTF1",-0.0311897444725037
"Stocking_Density",-0.019308967590332
"POND_SIZE_Ha",0.0156314277648926
"FCR",0.0146817111968994
"Pond_Type.LP",-0.0120238780975342
"Farm_ID.F009",0.0119962787628174
"Farm_ID.F005",0.0110136795043945
"Variant.SIS.HARDY.LINE",0.010479679107666
"Salinity",0.0104391002655029
"Cycle_ID.C003",-0.00848299980163574
"DO",-0.00714330315589905
"Cycle_ID.C002",-0.00579962730407715
"Farm_ID.F008",0.00424262046813965
"Temp_PM",-0.00386893272399902
"Variant.SIS.GROWTH.LINE",-0.00236875057220459
"Variant.SYAqua",0.00223674774169922
"PL__SIZE",-0.00196398735046387
"Nitrate",-0.00164460062980652
"Farm_ID.F004",-0.00161922454833984
"Pond_Type.LP.DIATOM.BASED.",0.00108853340148926
"Farm_ID.F006",0.000407600402832031
"Ammonia",0.000211591720581055
"Farm_ID.F002",0
"Farm_ID.F007",0
"Farm_ID.F010",0
"Cycle_ID.C004",0
"Cycle_ID.C005",0
"Cycle_ID.C006",0
"Nitrite",0
